words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
cognominar,0,0,1,0,4
replicar,0,0,5,0,2
redarguir,0,0,4,0,3
desassossegar,-,3,1,0,3
turvar,-,3,0,0,3
medrança,0,0,2,0,1
descortiçar,U,0,0,0,4
escorchar,U,0,0,0,3
roncadura,-,2,0,0,5
roncaria,-,2,0,0,4
protestar,0,0,4,0,3
queixar-se,0,2,5,1,4
desportivismo,U,0,0,0,-1
olimpismo,U,0,0,0,-1
brasileirice,-,1,0,0,5
brasileirada,-,1,0,0,6
nutritivo,0,0,3,0,4
alimentício,0,0,1,0,5
iludir,0,1,3,0,3
emburricar,0,0,2,0,4
retraimento,+,0,0,1,3
retranca,+,1,0,2,3
hercúleo,A,1,0,1,3
atlântico,U,0,0,0,4
contendor,-,3,0,0,4
contendedor,-,2,0,0,4
aflição,-,2,0,0,2
aperto,-,4,0,1,3
inspiração,+,0,0,3,2
voz,A,1,0,1,2
certificar-se,+,0,0,1,3
inteirar,A,0,2,2,3
farraparia,-,2,0,0,6
farandolagem,-,1,0,0,5
caprichoso,-,3,0,0,3
impertinente,-,6,2,1,3
arranjado,+,0,0,2,2
preparado,+,0,0,5,3
dominar,0,3,4,0,3
manejar,0,0,4,0,2
adiamento,0,1,3,1,4
dilação,0,2,4,1,4
descida,+,0,0,2,2
baixada,+,0,0,1,3
seduzir,0,0,2,1,3
cativar,0,0,5,4,3
patife,A,2,2,0,3
canalha,-,1,0,0,4
aguilhão,A,1,1,1,4
mucrão,U,0,0,0,5
esmola,+,0,0,1,1
nicho,U,0,0,0,-1
tribuneca,U,0,0,0,-1
vaticinar,+,0,1,2,4
profetizar,A,0,1,1,3
regra,+,1,0,18,3
trilho,+,0,1,2,3
zanga,-,7,1,0,3
ferro,A,1,0,1,3
marrada,-,3,0,1,4
gaitada,+,0,0,1,4
anónimo,U,0,0,0,5
avulso,A,1,1,1,4
agudo,-,5,0,3,3
fino,+,1,2,6,3
característica,+,0,0,2,3
apanágio,+,0,0,3,3
inábil,-,1,0,0,3
inapto,-,5,0,0,4
muco,U,0,0,0,7
ranho,U,0,0,0,6
dentuça,U,0,0,0,-1
denteira,U,0,0,0,-1
ofendido,-,3,0,1,4
sentido,+,1,1,13,3
torpe,0,2,6,0,4
cenoso,0,0,2,0,4
oposição,-,6,0,4,3
embate,-,5,0,1,3
quebradiço,-,2,0,0,4
friável,-,1,0,0,5
farpa,-,2,0,0,5
estilha,-,2,0,0,4
volteio,U,0,0,0,-1
volteadura,U,0,0,0,-1
correcto,+,0,2,4,3
alinhado,+,0,1,3,4
disposto,+,0,0,5,3
prono,+,0,0,2,3
ictiose,U,0,0,0,-1
sauríase,U,0,0,0,-1
terapêutico,+,0,0,1,6
medicinal,+,0,0,1,5
inevitavelmente,0,0,2,0,5
fatalmente,0,0,2,0,6
capricho,+,3,0,4,3
carrapicho,+,0,0,1,4
atrevimento,A,0,2,2,3
desfaçatez,+,0,0,1,4
permissão,+,0,1,4,3
consentimento,+,0,0,4,2
pesquisa,+,0,0,5,4
busca,+,0,0,2,3
brutificar,0,0,2,0,5
bestificar,0,0,3,0,6
preparação,A,0,3,3,3
confecção,U,0,0,0,4
recepção,+,0,0,3,3
acolhimento,+,0,0,4,2
puxo,-,1,0,0,7
tenesmo,-,1,0,0,8
amofinar-se,A,1,1,0,3
comer,0,0,2,1,3
estandarte,+,0,0,5,4
vexilo,+,0,0,2,5
depurador,U,0,0,0,-1
depurante,U,0,0,0,-1
assinatura,U,0,0,0,3
subscrição,U,0,0,0,4
variável,-,4,0,1,4
invariável,A,0,1,1,3
vasilha,+,0,0,1,4
recipiente,+,0,0,1,3
arranjar,0,0,2,0,1
amanhar,0,0,4,0,2
oblíquo,-,7,0,1,3
diagonal,A,1,0,1,4
enrubescer,-,1,0,0,3
vermelhecer,-,2,0,0,3
conter,0,0,2,1,2
deter,+,0,1,2,3
anotação,+,0,0,6,3
notação,+,0,0,2,4
saliente,+,1,2,3,3
saltado,+,0,0,1,4
feitor,A,0,1,1,4
fazedor,U,0,0,0,5
exceder,0,1,3,0,3
transcender,0,0,2,1,4
irresoluto,-,5,0,0,4
engadanhado,-,2,0,0,5
admoestação,+,0,0,8,4
corrigenda,+,0,0,1,5
indolente,-,5,1,0,3
ronceiro,-,4,1,0,4
pensativo,-,1,0,0,4
desforrar,0,0,2,0,4
seco,A,2,2,0,3
enxuto,-,1,0,0,3
estrumadela,U,0,0,0,-1
estrumação,U,0,0,0,-1
desconfiado,-,4,1,0,4
ressabiado,-,3,0,0,4
aspecto,+,0,1,7,3
fachada,+,0,0,3,3
ramoso,0,0,1,0,4
ramudo,0,0,1,0,3
tormentoso,-,1,0,0,2
proceloso,-,4,0,0,3
firme,A,1,0,1,2
intrépido,-,3,0,0,3
movimentar,0,0,4,0,3
accionar,0,0,2,0,3
lisonjeiro,+,0,0,1,2
elogioso,+,0,0,2,3
planície,A,0,1,1,3
raso,0,0,5,2,3
descompostura,+,0,0,2,3
bigode,+,0,0,1,4
ocultação,-,1,0,0,3
furtadela,-,1,0,0,4
árbitro,+,0,0,1,5
louvado,A,0,1,1,4
esgotar-se,0,0,1,0,3
estancar,0,4,5,0,4
enredadeira,U,0,0,0,-1
enleadeira,U,0,0,0,-1
nota,+,1,1,3,3
verba,+,0,2,3,4
catalogar,0,0,3,0,3
listar,0,0,2,1,4
afronta,-,4,0,2,3
insulto,-,5,0,2,3
desordem,-,3,0,0,2
conturbação,-,4,0,0,3
atencioso,A,1,0,1,3
mesurado,0,0,3,1,3
levantar-se,+,0,0,2,2
alçar,+,0,0,1,1
cumprimentar,+,0,1,4,3
cortejar,+,0,0,2,3
julgar,A,0,4,4,2
reputar,A,0,2,2,3
extrair,+,0,0,2,2
safar,+,0,1,2,3
culto,+,0,0,3,3
amorismo,+,0,0,2,4
pátrio,0,0,2,0,4
nacional,0,0,1,0,3
menosprezo,+,0,0,2,2
subestimação,+,0,0,1,3
citadino,U,0,0,0,-1
cidadão,U,0,0,0,-1
aparelhos,-,1,0,0,2
aparato,-,1,0,0,1
montar,A,0,5,5,3
cobrir,0,0,6,1,3
enlear,A,1,1,0,2
constritivo,U,0,0,0,-1
constringente,U,0,0,0,-1
singularidade,A,1,0,1,3
originalidade,+,1,0,2,3
bofe,-,1,0,0,6
boche,A,1,1,0,5
gnómon,U,0,0,0,-1
solário,U,0,0,0,-1
experimentar,+,0,1,3,2
ensaiar,0,0,4,1,3
constranger-se,-,2,1,0,3
violentar,-,2,0,0,2
acabrunhar,-,1,0,0,1
sobrecarregar,-,3,0,0,2
zangar-se,0,0,3,2,3
encanzinar,0,0,1,0,3
escritura,+,0,0,1,4
quitabo,+,0,0,2,5
introduzir,0,0,2,0,2
intratável,-,3,0,2,4
desconversável,A,1,0,1,5
janota,+,0,0,4,4
liró,+,0,1,2,4
engrandecer,+,0,0,1,0
avultar,+,0,0,1,1
intento,+,0,0,6,3
intuito,+,0,0,8,3
golpe,-,4,0,1,3
ferimento,-,2,0,0,4
atormentar,-,3,1,0,2
tratear,-,1,0,0,3
sevo,-,2,0,0,3
arrilhada,U,0,0,0,-1
arrelhada,U,0,0,0,-1
decocto,+,0,0,1,6
cozimento,+,0,0,2,5
favor,+,0,0,2,1
benesse,+,0,0,3,1
susto,-,5,0,0,3
espavento,-,1,0,0,2
teimoso,-,4,1,0,3
exprobração,+,0,0,1,4
objurgatória,+,0,0,2,4
desassossego,-,2,0,0,2
turvação,-,5,0,0,3
encolerizar,0,1,3,0,4
agitar,0,1,7,1,3
sobressaltar,0,2,4,1,3
esclerótica,+,0,0,1,4
clara,+,0,0,1,5
organização,+,1,3,5,3
tessitura,A,0,1,1,3
conquistar,0,0,10,3,3
obter,0,0,4,3,2
dissimulado,A,1,1,0,3
secreto,+,2,1,3,3
dilatar-se,+,0,0,3,3
inchar,+,0,0,1,2
férvido,-,3,0,1,4
desabrido,-,8,0,0,3
caniçada,+,0,0,1,5
sebe,+,1,1,3,4
adelo,U,0,0,0,7
algibebe,U,0,0,0,8
desarranjado,-,3,0,0,4
desalinhado,-,2,0,1,5
vulgar,0,0,3,1,2
frequente,0,0,4,0,2
ofender,A,1,1,0,2
chocar,+,1,2,3,3
vila-novense,U,0,0,0,-1
gaiense,U,0,0,0,-1
estender-se,0,0,2,1,3
espichar,0,0,3,1,4
traquina,-,4,0,0,3
rabicho,-,1,0,0,2
biografia,-,1,0,0,4
história,-,2,0,1,3
vaidoso,+,0,0,1,3
entojado,+,0,0,1,4
ultrapassado,0,0,1,0,3
batido,0,0,3,0,2
parecença,+,0,0,2,4
vislumbre,+,2,0,6,4
finório,-,1,0,0,2
maltês,0,1,2,0,3
enredo,-,6,0,2,2
fábula,-,3,0,0,3
oportunidade,+,0,0,4,3
jazigo,+,0,0,2,2
arrepio,-,1,0,0,4
arrepiamento,-,1,0,0,5
turco,U,0,0,0,-1
otomano,U,0,0,0,-1
recado,A,0,1,1,3
mandarete,U,0,0,0,4
interrupção,-,2,0,1,3
ruptura,A,2,1,2,4
rebaixamento,+,0,0,4,3
plebeização,+,0,0,1,4
caçador,U,0,0,0,-1
mucongo,U,0,0,0,-1
sujar,-,5,2,0,3
ensebar,-,3,0,0,4
malicioso,A,2,2,0,2
frescalhão,U,0,0,0,3
desencaracolar,0,0,1,0,4
desanelar,0,0,1,0,5
oprimir,-,2,0,0,1
iluminação,+,0,0,1,2
luminária,+,0,0,1,3
escuridão,-,2,0,0,2
neblina,A,1,0,1,3
apreciado,A,1,0,1,5
julgado,+,0,0,4,4
